"url","old_title","new_title","old_description","new_description","reason"
"https://hotdogtrays.com/","Custom Hot Dog Food Trays & Holders | Hot Dog Trays","Custom Hot Dog Trays | Wholesale & Printed | Hot Dog Trays","Order premium hot dog trays and disposable food packaging for food vendors and events. Bulk quantities available! Free Shipping!","Custom hot dog trays in wholesale quantities. Paper, kraft, cardboard and plastic, printed with your branding in your own sizes.","Title targets the broad commercial cluster; description rewritten because the old one ended on an unsupported free-shipping claim"
"https://hotdogtrays.com/about/","About - Hot Dog Trays","About - Hot Dog Trays","","Since 2015 HotDogTrays.com has supplied custom hot dog packaging to food service businesses worldwide.","No description existed; created from the visible content"
"https://hotdogtrays.com/contact/","Contact - Hot Dog Trays","Contact - Hot Dog Trays","","Contact Hot Dog Trays by phone, email or WhatsApp for help choosing the right custom hot dog packaging.","No description existed; created from the visible content"
"https://hotdogtrays.com/faq/","FAQ - Hot Dog Trays","FAQ - Hot Dog Trays","","Answers to common questions about ordering, customisation, shipping and payment for custom hot dog trays.","No description existed; created from the visible content"
"https://hotdogtrays.com/footlong-hot-dog-trays/","","Footlong Hot Dog Trays | Long Trays for 12"" Buns","","Trays built for footlong buns: end support, board strength, carrying and custom sizing for events and food trucks.","New page created during the SEO expansion"
"https://hotdogtrays.com/get-quote/","Get Quote - Hot Dog Trays","Get Quote - Hot Dog Trays","","Request a free custom quote for hot dog trays. Free design service, no setup fees and a response within two hours.","No description existed; created from the visible content"
"https://hotdogtrays.com/hot-dog-containers-to-go/","","Hot Dog Containers To Go | Takeaway and Pickup","","Choosing hot dog containers for takeaway: grease, condensation, bagging, order identification and short transport.","New page created during the SEO expansion"
"https://hotdogtrays.com/hot-dog-tray-material-guide/","","Hot Dog Tray Material Guide | Board, Kraft and Plastic","","Compare paperboard, kraft, corrugated and plastic hot dog trays on strength, grease handling, printing and disposal.","New page created during the SEO expansion"
"https://hotdogtrays.com/hot-dog-tray-sizes/","","Hot Dog Tray Sizes | How to Measure and Choose","","Measure bun length, width, topping height and sidewall depth to pick the right hot dog tray size for your menu.","New page created during the SEO expansion"
"https://hotdogtrays.com/hot-dog-trays-for-catering/","","Hot Dog Trays for Catering | Events and Buffets","","Planning hot dog trays for catered events: guest counts, batch serving, buffet stations, transport and cleanup.","New page created during the SEO expansion"
"https://hotdogtrays.com/hot-dog-trays-for-concession-stands/","","Hot Dog Trays for Concession Stands | High Volume","","Trays for stadium and event concessions: pre-staging, queue throughput, combo portions and counter organisation.","New page created during the SEO expansion"
