"url","schema_types","notes"
"https://hotdogtrays.com/","Organization | WebSite | WebPage | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/404/","","no structured data (noindex or error page)"
"https://hotdogtrays.com/about/","Organization | WebSite | WebPage | BreadcrumbList",""
"https://hotdogtrays.com/contact/","Organization | WebSite | WebPage | BreadcrumbList",""
"https://hotdogtrays.com/faq/","Organization | WebSite | WebPage | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/get-quote/","Organization | WebSite | WebPage | BreadcrumbList",""
"https://hotdogtrays.com/privacy-policy/","Organization | WebSite | WebPage | BreadcrumbList",""
"https://hotdogtrays.com/product-category/products/","Organization | WebSite | CollectionPage | ItemList | BreadcrumbList",""
"https://hotdogtrays.com/product/cardboard-hot-dog-holders/","Organization | WebSite | Product | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/product/cardboard-hot-dog-trays/","Organization | WebSite | Product | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/product/disposable-hot-dog-holders/","Organization | WebSite | Product | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/product/disposable-hot-dog-trays/","Organization | WebSite | Product | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/product/hot-dog-boats-paper/","Organization | WebSite | Product | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/product/hot-dog-container-paper/","Organization | WebSite | Product | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/product/hot-dog-food-tray/","Organization | WebSite | Product | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/product/hot-dog-paper-holders/","Organization | WebSite | Product | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/product/hot-dog-plates/","Organization | WebSite | Product | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/product/hot-dog-serving-tray/","Organization | WebSite | Product | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/product/kraft-hot-dog-tray/","Organization | WebSite | Product | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/product/paper-hot-dog-trays/","Organization | WebSite | Product | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/product/plastic-hot-dog-trays/","Organization | WebSite | Product | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/product/red-and-white-hot-dog-trays/","Organization | WebSite | Product | BreadcrumbList | FAQPage",""
"https://hotdogtrays.com/sample-page/","","no structured data (noindex or error page)"
"https://hotdogtrays.com/shipping/","Organization | WebSite | WebPage | BreadcrumbList",""
"https://hotdogtrays.com/shop/","Organization | WebSite | CollectionPage | ItemList | BreadcrumbList",""
"https://hotdogtrays.com/terms-conditions/","Organization | WebSite | WebPage | BreadcrumbList",""
